order_id,order_date,customer_id,store_id,product_id,product_name,category,qty,unit_price,discount_pct,discount_amount,total_price,payment_method,order_status,city,year,month,quarter,month_name
ORD01021,2024-08-13,CST0008,STR028,PRD0043,Tas Sekolah Anak SD,Perlengkapan Bayi & Anak,1,103400.0,15.0,15500.0,87890.0,Qris,delivered,Palembang,2024.0,8.0,3.0,Aug
ORD04039,2023-10-08,CST0147,STR035,PRD0006,Jaket Bomber,Fashion & Pakaian,1,321800.0,0.0,0.0,321800.0,Linkaja,cancelled,Surabaya,2023.0,10.0,4.0,Oct
ORD02869,2023-02-08,CST0234,STR031,PRD0004,Celana Chino Pria,Fashion & Pakaian,2,164500.0,15.0,49400.0,279650.0,Cod,delivered,Palembang,2023.0,2.0,1.0,Feb
ORD03448,2023-06-26,CST0782,STR042,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,1,24900.0,0.0,0.0,24900.0,Gopay,cancelled,Bogor,2023.0,6.0,2.0,Jun
ORD00428,2024-10-07,CST0223,STR035,PRD0050,Botol Infuser Air,Olahraga & Outdoor,2,64000.0,0.0,0.0,128000.0,Shopeepay,processing,Surabaya,2024.0,10.0,4.0,Oct
ORD04650,2024-06-03,CST0834,STR033,PRD0048,Tali Skipping Premium,Olahraga & Outdoor,2,60300.0,5.0,6000.0,114570.0,Alfamart,delivered,Depok,2024.0,6.0,2.0,Jun
ORD01439,2024-12-24,CST0990,STR042,PRD0001,Batik Tulis Premium,Fashion & Pakaian,2,302200.0,10.0,60400.0,543960.0,Transfer Bri,delivered,Bogor,2024.0,12.0,4.0,Dec
ORD01236,2024-11-01,CST0646,STR016,PRD0020,Lip Cream Matte Halal,Kecantikan & Perawatan,1,44900.0,5.0,2200.0,42655.0,Dana,returned,Medan,2024.0,11.0,4.0,Nov
ORD03263,2024-02-27,CST0517,STR048,PRD0023,Shampo Kemiri Organik,Kecantikan & Perawatan,2,67800.0,15.0,20400.0,115260.0,Shopeepay,delivered,Surabaya,2024.0,2.0,1.0,Feb
ORD04237,2024-10-15,CST0859,STR020,PRD0029,Lampu LED Ring Light,Elektronik & Aksesori,4,164400.0,10.0,65800.0,591840.0,Cod,cancelled,Bandung,2024.0,10.0,4.0,Oct
ORD01613,2023-08-04,CST0185,STR029,PRD0008,Sandal Kulit Handmade,Fashion & Pakaian,3,140400.0,0.0,0.0,421200.0,Dana,delivered,Bandung,2023.0,8.0,3.0,Aug
ORD00320,2024-06-08,CST0977,STR027,PRD0019,Sabun Sirih Herbal,Kecantikan & Perawatan,1,26500.0,10.0,2600.0,23850.0,Cod,delivered,Depok,2024.0,6.0,2.0,Jun
ORD01601,2024-08-07,CST0551,STR035,PRD0016,Rendang Kemasan Vacuum,Makanan & Minuman,3,135800.0,0.0,0.0,407400.0,Indomaret,processing,Surabaya,2024.0,8.0,3.0,Aug
ORD01398,2023-10-26,CST0665,STR012,PRD0029,Lampu LED Ring Light,Elektronik & Aksesori,1,180700.0,5.0,9000.0,171665.0,Linkaja,cancelled,Depok,2023.0,10.0,4.0,Oct
ORD02856,2023-06-10,CST0050,STR035,PRD0038,Talenan Kayu Jati,Rumah Tangga,2,84500.0,10.0,16900.0,152100.0,Alfamart,delivered,Surabaya,2023.0,6.0,2.0,Jun
ORD02371,2024-03-15,CST0056,STR018,PRD0008,Sandal Kulit Handmade,Fashion & Pakaian,1,140000.0,0.0,0.0,140000.0,Linkaja,delivered,Makassar,2024.0,3.0,1.0,Mar
ORD00102,2024-12-04,CST0047,STR002,PRD0004,Celana Chino Pria,Fashion & Pakaian,1,151200.0,10.0,15100.0,136080.0,Dana,returned,Medan,2024.0,12.0,4.0,Dec
ORD02647,2023-05-29,CST0748,STR010,PRD0028,Holder HP Mobil,Elektronik & Aksesori,1,64800.0,0.0,0.0,64800.0,Alfamart,delivered,Palembang,2023.0,5.0,2.0,May
ORD04768,2023-12-09,CST0283,STR038,PRD0046,Botol Susu Anti-Kolik,Perlengkapan Bayi & Anak,4,95800.0,15.0,57500.0,325720.0,Qris,returned,Semarang,2023.0,12.0,4.0,Dec
ORD05447,2023-05-28,CST0410,STR014,PRD0051,Topi Running,Olahraga & Outdoor,3,50300.0,0.0,0.0,150900.0,Ovo,cancelled,Makassar,2023.0,5.0,2.0,May
ORD00298,2024-04-13,CST0661,STR032,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,1,24700.0,0.0,0.0,24700.0,Ovo,delivered,Bogor,2024.0,4.0,2.0,Apr
ORD02585,2024-12-18,CST0096,STR013,PRD0048,Tali Skipping Premium,Olahraga & Outdoor,1,52400.0,5.0,2600.0,49780.0,Transfer Bri,delivered,Depok,2024.0,12.0,4.0,Dec
ORD02555,2023-06-22,CST0071,STR039,PRD0042,Mainan Edukasi Kayu,Perlengkapan Bayi & Anak,1,84000.0,10.0,8400.0,75600.0,Dana,delivered,Bandung,2023.0,6.0,2.0,Jun
ORD02743,2023-05-31,CST0341,STR040,PRD0046,Botol Susu Anti-Kolik,Perlengkapan Bayi & Anak,5,99400.0,10.0,49700.0,447300.0,Transfer Mandiri,returned,Tangerang,2023.0,5.0,2.0,May
ORD04954,2023-05-31,CST0039,STR014,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,1,32300.0,20.0,6500.0,25840.0,Dana,delivered,Makassar,2023.0,5.0,2.0,May
ORD00080,2024-07-04,CST0024,STR002,PRD0055,Gantungan Kunci Batik,Kerajinan & Souvenir,1,12800.0,10.0,1300.0,11520.0,Cod,cancelled,Medan,2024.0,7.0,3.0,Jul
ORD04735,2024-04-23,CST0374,STR007,PRD0006,Jaket Bomber,Fashion & Pakaian,2,317300.0,0.0,0.0,634600.0,Linkaja,delivered,Bogor,2024.0,4.0,2.0,Apr
ORD01906,2024-12-03,CST0207,STR048,PRD0041,Baju Bayi Newborn Set,Perlengkapan Bayi & Anak,5,139600.0,10.0,69800.0,628200.0,Ovo,delivered,Surabaya,2024.0,12.0,4.0,Dec
ORD00894,2023-10-01,CST0499,STR026,PRD0037,Botol Minum Tumbler,Rumah Tangga,2,78400.0,15.0,23500.0,133280.0,Ovo,returned,Bandung,2023.0,10.0,4.0,Oct
ORD00168,2023-12-07,CST0915,STR005,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,4,35800.0,10.0,14300.0,128880.0,Cod,delivered,Medan,2023.0,12.0,4.0,Dec
ORD03464,2023-11-03,CST0083,STR006,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,10,53900.0,0.0,0.0,539000.0,Transfer Bca,cancelled,Depok,2023.0,11.0,4.0,Nov
ORD04382,2023-02-20,CST0631,STR026,PRD0051,Topi Running,Olahraga & Outdoor,3,53100.0,0.0,0.0,159300.0,Qris,delivered,Bandung,2023.0,2.0,1.0,Feb
ORD02108,2023-04-29,CST0642,STR038,PRD0021,Sunscreen SPF50 Lokal,Kecantikan & Perawatan,1,97100.0,0.0,0.0,97100.0,Cod,cancelled,Semarang,2023.0,4.0,2.0,Apr
ORD03751,2023-12-01,CST0688,STR026,PRD0016,Rendang Kemasan Vacuum,Makanan & Minuman,1,136500.0,15.0,20500.0,116025.0,Dana,processing,Bandung,2023.0,12.0,4.0,Dec
ORD01979,2023-09-02,CST0074,STR045,PRD0051,Topi Running,Olahraga & Outdoor,10,44900.0,5.0,22500.0,426550.0,Linkaja,returned,Bogor,2023.0,9.0,3.0,Sep
ORD01023,2023-02-10,CST0653,STR043,PRD0005,Dress Casual Wanita,Fashion & Pakaian,1,155500.0,5.0,7800.0,147725.0,Transfer Bri,processing,Surabaya,2023.0,2.0,1.0,Feb
ORD02095,2023-07-19,CST0546,STR006,PRD0047,Kaos Olahraga Dryfit,Olahraga & Outdoor,1,82800.0,20.0,16600.0,66240.0,Qris,returned,Depok,2023.0,7.0,3.0,Jul
ORD05096,2024-12-03,CST0260,STR032,PRD0025,Powerbank 10000mAh,Elektronik & Aksesori,1,134300.0,5.0,6700.0,127585.0,Transfer Bri,delivered,Bogor,2024.0,12.0,4.0,Dec
ORD00897,2024-12-01,CST0785,STR003,PRD0014,Madu Hutan Asli 500ml,Makanan & Minuman,1,188700.0,15.0,28300.0,160395.0,Ovo,cancelled,Depok,2024.0,12.0,4.0,Dec
ORD02952,2023-08-09,CST0291,STR049,PRD0049,Matras Yoga 6mm,Olahraga & Outdoor,1,145700.0,5.0,7300.0,138415.0,Transfer Mandiri,processing,Makassar,2023.0,8.0,3.0,Aug
ORD00627,2023-01-22,CST0716,STR001,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,4,46000.0,10.0,18400.0,165600.0,Ovo,delivered,Surabaya,2023.0,1.0,1.0,Jan
ORD01570,2024-01-26,CST0014,STR012,PRD0056,Topeng Kayu Dekorasi,Kerajinan & Souvenir,3,102300.0,0.0,0.0,306900.0,Ovo,delivered,Depok,2024.0,1.0,1.0,Jan
ORD05149,2024-06-21,CST0490,STR028,PRD0033,Tempat Makan Tupperware KW,Rumah Tangga,1,52100.0,5.0,2600.0,49495.0,Transfer Mandiri,cancelled,Palembang,2024.0,6.0,2.0,Jun
ORD00231,2024-10-22,CST0291,STR049,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,2,23500.0,10.0,4700.0,42300.0,Shopeepay,returned,Makassar,2024.0,10.0,4.0,Oct
ORD05297,2024-11-15,CST0281,STR037,PRD0027,Earphone Bluetooth TWS,Elektronik & Aksesori,3,134600.0,5.0,20200.0,383610.0,Cod,returned,Depok,2024.0,11.0,4.0,Nov
ORD00810,2023-10-07,CST0261,STR050,PRD0018,Masker Wajah Clay BPOM,Kecantikan & Perawatan,1,55700.0,0.0,0.0,55700.0,Unknown,cancelled,Medan,2023.0,10.0,4.0,Oct
ORD00081,2024-09-29,CST0101,STR012,PRD0012,Teh Herbal Jahe Merah,Makanan & Minuman,3,39100.0,10.0,11700.0,105570.0,Gopay,cancelled,Depok,2024.0,9.0,3.0,Sep
ORD03482,2023-12-15,CST0032,STR046,PRD0054,Lukisan Kanvas UMKM,Kerajinan & Souvenir,2,190700.0,5.0,19100.0,362330.0,Gopay,cancelled,Medan,2023.0,12.0,4.0,Dec
ORD03255,2023-10-12,CST0635,STR013,PRD0004,Celana Chino Pria,Fashion & Pakaian,3,156400.0,0.0,0.0,469200.0,Dana,processing,Depok,2023.0,10.0,4.0,Oct
ORD01925,2024-05-13,CST0321,STR019,PRD0053,Tas Anyaman Pandan,Kerajinan & Souvenir,4,95300.0,0.0,0.0,381200.0,Dana,delivered,Surabaya,2024.0,5.0,2.0,May
ORD00904,2023-11-24,CST0361,STR025,PRD0033,Tempat Makan Tupperware KW,Rumah Tangga,1,52600.0,15.0,7900.0,44710.0,Transfer Mandiri,delivered,Tangerang,2023.0,11.0,4.0,Nov
ORD00556,2023-05-04,CST0743,STR015,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,3,34600.0,20.0,20800.0,83040.0,Linkaja,delivered,Jakarta,2023.0,5.0,2.0,May
ORD00426,2024-12-16,CST0373,STR031,PRD0034,Sapu Lantai Ijuk,Rumah Tangga,1,23700.0,5.0,1200.0,22515.0,Alfamart,returned,Palembang,2024.0,12.0,4.0,Dec
ORD03525,2023-05-20,CST0289,STR011,PRD0056,Topeng Kayu Dekorasi,Kerajinan & Souvenir,2,101200.0,5.0,10100.0,192280.0,Alfamart,processing,Bogor,2023.0,5.0,2.0,May
ORD02482,2024-04-15,CST0586,STR025,PRD0006,Jaket Bomber,Fashion & Pakaian,1,323300.0,0.0,0.0,323300.0,Transfer Mandiri,delivered,Tangerang,2024.0,4.0,2.0,Apr
ORD01159,2023-01-29,CST0701,STR003,PRD0054,Lukisan Kanvas UMKM,Kerajinan & Souvenir,1,206000.0,5.0,10300.0,195700.0,Transfer Bri,processing,Depok,2023.0,1.0,1.0,Jan
ORD02630,2023-07-19,CST0372,STR041,PRD0026,Kabel Data Type-C 1m,Elektronik & Aksesori,1,38100.0,0.0,0.0,38100.0,Qris,processing,Semarang,2023.0,7.0,3.0,Jul
