store_id,store_name,city,province,store_type,join_date
STR001,Toko Berkah Surabaya,Surabaya,Surabaya,Hybrid,2021-10-09
STR002,Toko Makmur Medan,Medan,Medan,Online,2021-04-15
STR003,Toko Maju Depok,Depok,Depok,Hybrid,2022-03-09
STR004,Toko Berkah Jakarta,Jakarta,Jakarta,Online,2021-08-12
STR005,Toko Berkah Medan,Medan,Medan,Hybrid,2021-07-23
STR006,Toko Barokah Depok,Depok,Depok,Online,2022-04-05
STR007,Toko Sejahtera Bogor,Bogor,Bogor,Online,2021-06-13
STR008,Toko Nusantara Palembang,Palembang,Palembang,Offline,2021-06-09
STR009,Toko Nusantara Medan,Medan,Medan,Online,2021-04-05
STR010,Toko Maju Palembang,Palembang,Palembang,Offline,2021-12-19
STR011,Toko Sejahtera Bogor,Bogor,Bogor,Online,2022-04-16
STR012,Toko Maju Depok,Depok,Depok,Offline,2021-03-22
STR013,Toko Sejahtera Depok,Depok,Depok,Hybrid,2022-09-26
STR014,Toko Makmur Makassar,Makassar,Makassar,Hybrid,2021-03-13
STR015,Toko Makmur Jakarta,Jakarta,Jakarta,Offline,2021-03-23
STR016,Toko Maju Medan,Medan,Medan,Offline,2021-10-12
STR017,Toko Nusantara Tangerang,Tangerang,Tangerang,Online,2022-01-15
STR018,Toko Makmur Makassar,Makassar,Makassar,Hybrid,2021-10-01
STR019,Toko Jaya Surabaya,Surabaya,Surabaya,Hybrid,2021-09-08
STR020,Toko Mandiri Bandung,Bandung,Bandung,Offline,2021-10-04
STR021,Toko Makmur Depok,Depok,Depok,Hybrid,2021-11-29
STR022,Toko Makmur Jakarta,Jakarta,Jakarta,Online,2021-11-20
STR023,Toko Sejahtera Palembang,Palembang,Palembang,Online,2021-08-05
STR024,Toko Nusantara Bogor,Bogor,Bogor,Online,2022-11-03
STR025,Toko Barokah Tangerang,Tangerang,Tangerang,Hybrid,2022-04-15
STR026,Toko Sejahtera Bandung,Bandung,Bandung,Online,2021-09-10
STR027,Toko Sejahtera Depok,Depok,Depok,Hybrid,2022-08-22
STR028,Toko Barokah Palembang,Palembang,Palembang,Offline,2021-08-13
STR029,Toko Mandiri Bandung,Bandung,Bandung,Online,2021-02-18
STR030,Toko Jaya Surabaya,Surabaya,Surabaya,Hybrid,2021-06-13
STR031,Toko Maju Palembang,Palembang,Palembang,Offline,2022-01-26
STR032,Toko Mandiri Bogor,Bogor,Bogor,Hybrid,2021-09-15
STR033,Toko Berkah Depok,Depok,Depok,Hybrid,2021-04-28
STR034,Toko Sejahtera Depok,Depok,Depok,Hybrid,2021-12-15
STR035,Toko Sejahtera Surabaya,Surabaya,Surabaya,Offline,2021-06-11
STR036,Toko Berkah Tangerang,Tangerang,Tangerang,Hybrid,2021-09-27
STR037,Toko Jaya Depok,Depok,Depok,Hybrid,2021-04-19
STR038,Toko Makmur Semarang,Semarang,Semarang,Online,2022-01-18
STR039,Toko Berkah Bandung,Bandung,Bandung,Hybrid,2021-11-28
STR040,Toko Berkah Tangerang,Tangerang,Tangerang,Online,2022-01-07
STR041,Toko Makmur Semarang,Semarang,Semarang,Online,2021-09-04
STR042,Toko Maju Bogor,Bogor,Bogor,Online,2022-05-13
STR043,Toko Jaya Surabaya,Surabaya,Surabaya,Online,2022-11-07
STR044,Toko Jaya Tangerang,Tangerang,Tangerang,Offline,2022-06-25
STR045,Toko Barokah Bogor,Bogor,Bogor,Online,2022-07-07
STR046,Toko Sejahtera Medan,Medan,Medan,Offline,2022-11-19
STR047,Toko Mandiri Makassar,Makassar,Makassar,Hybrid,2022-04-08
STR048,Toko Makmur Surabaya,Surabaya,Surabaya,Online,2021-03-07
STR049,Toko Berkah Makassar,Makassar,Makassar,Hybrid,2022-07-22
STR050,Toko Makmur Medan,Medan,Medan,Online,2021-03-14
