order_id,order_date,customer_id,store_id,product_id,product_name,category,qty,unit_price,discount_pct,discount_amount,total_price,payment_method,order_status,city
ORD01021,2024-08-13,CST0008,STR028,PRD0043,Tas Sekolah Anak SD,Perlengkapan Bayi & Anak,1,103400.0,15.0,15500.0,87900.0,QRIS,delivered,Palembang
ORD04039,2023-10-08,CST0147,STR035,PRD0006,Jaket Bomber,Fashion & Pakaian,1,321800.0,0.0,0.0,321800.0,LinkAja,cancelled,Surabaya
ORD03317,2024-11-07,CST0744,STR016,PRD0054,Lukisan Kanvas UMKM,Kerajinan & Souvenir,2,2068000.0,0.0,0.0,413600.0,GoPay,cancelled,Medan
ORD02869,2023-02-08,CST0234,STR031,PRD0004,Celana Chino Pria,Fashion & Pakaian,2,164500.0,15.0,49400.0,279700.0,COD,delivered,Palembang
ORD03448,2023-06-26,CST0782,STR042,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,1,24900.0,0.0,0.0,24900.0,GoPay,cancelled,Bogor
ORD00428,2024-10-07,CST0223,STR035,PRD0050,Botol Infuser Air,Olahraga & Outdoor,2,64000.0,0.0,0.0,128000.0,ShopeePay,processing,Surabaya
ORD04650,2024-06-03,CST0834,STR033,PRD0048,Tali Skipping Premium,Olahraga & Outdoor,2,60300.0,5.0,6000.0,114500.0,Alfamart,delivered,Depok
ORD01439,2024-12-24,CST0990,STR042,PRD0001,Batik Tulis Premium,Fashion & Pakaian,2,302200.0,10.0,60400.0,544000.0,Transfer BRI,delivered,Bogor
ORD01236,2024-11-01,CST0646,STR016,PRD0020,Lip Cream Matte Halal,Kecantikan & Perawatan,1,44900.0,5.0,2200.0,42600.0,Dana,returned,Medan
ORD03263,2024-02-27,CST0517,STR048,PRD0023,Shampo Kemiri Organik,Kecantikan & Perawatan,2,67800.0,15.0,20400.0,115300.0,ShopeePay,delivered,Surabaya
ORD04237,2024-10-15,CST0859,STR020,PRD0029,Lampu LED Ring Light,Elektronik & Aksesori,4,164400.0,10.0,65800.0,591800.0,COD,cancelled,Bandung
ORD01613,2023-08-04,CST0185,STR029,PRD0008,Sandal Kulit Handmade,Fashion & Pakaian,3,140400.0,0.0,0.0,421100.0,Dana,delivered,Bandung
ORD00320,2024-06-08,CST0977,STR027,PRD0019,Sabun Sirih Herbal,Kecantikan & Perawatan,1,26500.0,10.0,2600.0,23800.0,COD,delivered,Depok
ORD01601,2024-08-07,CST0551,STR035,PRD0016,Rendang Kemasan Vacuum,Makanan & Minuman,3,135800.0,0.0,0.0,407400.0,Indomaret,processing,Surabaya
ORD01398,2023-10-26,CST0665,STR012,PRD0029,Lampu LED Ring Light,Elektronik & Aksesori,1,180700.0,5.0,9000.0,171700.0,LinkAja,cancelled,Depok
ORD02856,2023-06-10,CST0050,STR035,PRD0038,Talenan Kayu Jati,Rumah Tangga,2,84500.0,10.0,16900.0,152100.0,Alfamart,delivered,Surabaya
ORD02371,2024-03-15,CST0056,STR018,PRD0008,Sandal Kulit Handmade,Fashion & Pakaian,1,140000.0,0.0,0.0,140000.0,LinkAja,delivered,Makassar
ORD00102,2024-12-04,CST0047,STR002,PRD0004,Celana Chino Pria,Fashion & Pakaian,1,151200.0,10.0,15100.0,136000.0,Dana,returned,Medan
ORD02647,2023-05-29,CST0748,STR010,PRD0028,Holder HP Mobil,Elektronik & Aksesori,1,64800.0,0.0,0.0,64800.0,Alfamart,delivered,Palembang
ORD04768,2023-12-09,CST0283,STR038,PRD0046,Botol Susu Anti-Kolik,Perlengkapan Bayi & Anak,4,95800.0,15.0,57500.0,325900.0,QRIS,returned,Semarang
ORD05447,2023-05-28,CST0410,STR014,PRD0051,Topi Running,Olahraga & Outdoor,3,50300.0,0.0,0.0,150800.0,OVO,cancelled,Makassar
ORD00298,2024-04-13,CST0661,STR032,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,1,24700.0,0.0,0.0,24700.0,OVO,delivered,Bogor
ORD02585,2024-12-18,CST0096,STR013,PRD0048,Tali Skipping Premium,Olahraga & Outdoor,1,52400.0,5.0,2600.0,49800.0,Transfer BRI,delivered,Depok
ORD02555,2023-06-22,CST0071,STR039,PRD0042,Mainan Edukasi Kayu,Perlengkapan Bayi & Anak,1,84000.0,10.0,8400.0,75600.0,Dana,delivered,Bandung
ORD02743,2023-05-31,CST0341,STR040,PRD0046,Botol Susu Anti-Kolik,Perlengkapan Bayi & Anak,5,99400.0,10.0,49700.0,447500.0,Transfer Mandiri,returned,Tangerang
ORD04954,2023-05-31,CST0039,STR014,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,1,32300.0,20.0,6500.0,25800.0,Dana,delivered,Makassar
ORD00080,2024-07-04,CST0024,STR002,PRD0055,Gantungan Kunci Batik,Kerajinan & Souvenir,1,12800.0,10.0,1300.0,11600.0,COD,cancelled,
ORD04735,2024-04-23,CST0374,STR007,PRD0006,Jaket Bomber,Fashion & Pakaian,2,317300.0,0.0,0.0,634600.0,LinkAja,delivered,Bogor
ORD01906,2024-12-03,CST0207,STR048,PRD0041,Baju Bayi Newborn Set,Perlengkapan Bayi & Anak,5,139600.0,10.0,69800.0,628200.0,OVO,delivered,Surabaya
ORD00894,2023-10-01,CST0499,STR026,PRD0037,Botol Minum Tumbler,Rumah Tangga,2,78400.0,15.0,23500.0,133200.0,OVO,returned,Bandung
ORD00168,2023-12-07,CST0915,STR005,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,4,35800.0,10.0,14300.0,129000.0,COD,delivered,Medan
ORD03464,2023-11-03,CST0083,STR006,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,10,53900.0,0.0,0.0,538700.0,Transfer BCA,cancelled,Depok
ORD04382,2023-02-20,CST0631,STR026,PRD0051,Topi Running,Olahraga & Outdoor,3,53100.0,0.0,0.0,159200.0,QRIS,delivered,Bandung
ORD02108,2023-04-29,CST0642,STR038,PRD0021,Sunscreen SPF50 Lokal,Kecantikan & Perawatan,1,97100.0,0.0,0.0,97100.0,COD,cancelled,Semarang
ORD03751,2023-12-01,CST0688,STR026,PRD0016,Rendang Kemasan Vacuum,Makanan & Minuman,1,136500.0,15.0,20500.0,116000.0,Dana,processing,Bandung
ORD01979,2023-09-02,CST0074,STR045,PRD0051,Topi Running,Olahraga & Outdoor,10,44900.0,5.0,22500.0,426900.0,LinkAja,returned,
ORD01023,2023-02-10,CST0653,STR043,PRD0005,Dress Casual Wanita,Fashion & Pakaian,1,155500.0,5.0,7800.0,147700.0,Transfer BRI,processing,Surabaya
ORD02095,2023-07-19,CST0546,STR006,PRD0047,Kaos Olahraga Dryfit,Olahraga & Outdoor,1,82800.0,20.0,16600.0,66200.0,QRIS,returned,Depok
ORD05096,2024-12-03,CST0260,STR032,PRD0025,Powerbank 10000mAh,Elektronik & Aksesori,1,134300.0,5.0,6700.0,127600.0,Transfer BRI,delivered,Bogor
ORD00897,2024-12-01,CST0785,STR003,PRD0014,Madu Hutan Asli 500ml,Makanan & Minuman,1,188700.0,15.0,28300.0,160400.0,OVO,cancelled,Depok
ORD02952,2023-08-09,CST0291,STR049,PRD0049,Matras Yoga 6mm,Olahraga & Outdoor,1,145700.0,5.0,7300.0,138400.0,Transfer Mandiri,processing,Makassar
ORD00627,2023-01-22,CST0716,STR001,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,4,46000.0,10.0,18400.0,165600.0,OVO,delivered,Surabaya
ORD01570,2024-01-26,CST0014,STR012,PRD0056,Topeng Kayu Dekorasi,Kerajinan & Souvenir,3,102300.0,0.0,0.0,306900.0,OVO,delivered,Depok
ORD05149,2024-06-21,CST0490,STR028,PRD0033,Tempat Makan Tupperware KW,Rumah Tangga,1,52100.0,5.0,2600.0,49500.0,Transfer Mandiri,cancelled,Palembang
ORD00231,2024-10-22,CST0291,STR049,PRD0052,Gelang Batok Kelapa,Kerajinan & Souvenir,2,23500.0,10.0,4700.0,42400.0,ShopeePay,returned,Makassar
ORD05297,2024-11-15,CST0281,STR037,PRD0027,Earphone Bluetooth TWS,Elektronik & Aksesori,3,134600.0,5.0,20200.0,383700.0,COD,returned,Depok
ORD00810,2023-10-07,CST0261,STR050,PRD0018,Masker Wajah Clay BPOM,Kecantikan&Perawatan,1,55700.0,,0.0,55700.0,,cancelled,Medan
ORD00081,2024-09-29,CST0101,STR012,PRD0012,Teh Herbal Jahe Merah,Makanan & Minuman,3,39100.0,10.0,11700.0,105500.0,GoPay,cancelled,Depok
ORD03482,2023-12-15,CST0032,STR046,PRD0054,Lukisan Kanvas UMKM,Kerajinan & Souvenir,2,190700.0,5.0,19100.0,362400.0,GoPay,cancelled,Medan
ORD03255,2023-10-12,CST0635,STR013,PRD0004,Celana Chino Pria,Fashion & Pakaian,3,156400.0,0.0,0.0,469100.0,Dana,processing,Depok
ORD01925,2024-05-13,CST0321,STR019,PRD0053,Tas Anyaman Pandan,Kerajinan & Souvenir,4,95300.0,0.0,0.0,381200.0,Dana,delivered,Surabaya
ORD00904,2023-11-24,CST0361,STR025,PRD0033,Tempat Makan Tupperware KW,Rumah Tangga,1,52600.0,15.0,7900.0,44700.0,Transfer Mandiri,delivered,Tangerang
ORD00556,2023-05-04,CST0743,STR015,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,3,34600.0,20.0,20800.0,83100.0,LinkAja,delivered,Jakarta
ORD00426,2024-12-16,CST0373,STR031,PRD0034,Sapu Lantai Ijuk,Rumah Tangga,1,23700.0,5.0,1200.0,22500.0,Alfamart,returned,Palembang
ORD03525,2023-05-20,CST0289,STR011,PRD0056,Topeng Kayu Dekorasi,Kerajinan & Souvenir,2,101200.0,5.0,10100.0,192400.0,Alfamart,processing,Bogor
ORD02482,2024-04-15,CST0586,STR025,PRD0006,Jaket Bomber,Fashion & Pakaian,1,323300.0,0.0,0.0,323300.0,Transfer Mandiri,delivered,Tangerang
ORD01159,2023-01-29,CST0701,STR003,PRD0054,Lukisan Kanvas UMKM,Kerajinan & Souvenir,1,206000.0,5.0,10300.0,195700.0,Transfer BRI,processing,Depok
ORD02630,2023-07-19,CST0372,STR041,PRD0026,Kabel Data Type-C 1m,Elektronik & Aksesori,1,38100.0,0.0,0.0,38100.0,QRIS,processing,Semarang
ORD02043,2023-11-26,CST0451,STR012,PRD0021,Sunscreen SPF50 Lokal,Kecantikan & Perawatan,2,93400.0,25.0,46700.0,140100.0,Transfer BCA,delivered,Depok
ORD04315,2024-05-06,CST0142,STR015,PRD0036,Gantungan Baju Kayu,Rumah Tangga,1,21700.0,0.0,0.0,21700.0,ShopeePay,processing,Jakarta
ORD02562,2023-08-10,CST0471,STR049,PRD0046,Botol Susu Anti-Kolik,Perlengkapan Bayi & Anak,1,108800.0,10.0,10900.0,97900.0,Dana,returned,Makassar
ORD02477,2024-01-11,CST0852,STR006,PRD0010,Sambal Bawang Homemade,Makanan & Minuman,1,32000.0,15.0,4800.0,27200.0,Transfer BCA,processing,
ORD00133,2023-03-08,CST0416,STR005,PRD0037,Botol Minum Tumbler,Rumah Tangga,1,78600.0,10.0,7900.0,70700.0,LinkAja,delivered,Medan
ORD02808,2023-09-11,CST0832,STR004,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,3,50600.0,5.0,7600.0,144100.0,Transfer Mandiri,cancelled,Jakarta
ORD02060,2024-06-22,CST0453,STR047,PRD0032,Charger Fast Charging,Elektronik & Aksesori,1,66200.0,0.0,0.0,66200.0,GoPay,delivered,Makassar
ORD00024,2023-06-12,CST0953,STR041,PRD0017,Skincare Serum Vit C Lokal,Kecantikan & Perawatan,2,98400.0,20.0,39400.0,157400.0,COD,delivered,Semarang
ORD01413,2024-07-19,CST0967,STR020,PRD0056,Topeng Kayu Dekorasi,Kerajinan & Souvenir,1,114900.0,10.0,11500.0,103400.0,OVO,delivered,Bandung
ORD02132,2023-03-16,CST0055,STR004,PRD0027,Earphone Bluetooth TWS,Elektronik & Aksesori,5,139700.0,5.0,34900.0,663600.0,Transfer BRI,delivered,Jakarta
ORD02264,2024-09-13,CST0197,STR004,PRD0007,Sepatu Sneakers Lokal,Fashion & Pakaian,4,283200.0,5.0,56600.0,1076300.0,COD,returned,Jakarta
ORD00325,2023-05-23,CST0643,STR037,PRD0017,Skincare Serum Vit C Lokal,Kecantikan & Perawatan,4,109800.0,0.0,0.0,439200.0,LinkAja,cancelled,Depok
ORD00178,2024-08-03,CST0722,STR025,PRD0049,Matras Yoga 6mm,Olahraga & Outdoor,3,161900.0,0.0,0.0,485800.0,Indomaret,processing,Tangerang
ORD03289,2023-05-13,CST0089,STR020,PRD0015,Dodol Garut Premium,Makanan & Minuman,1,43700.0,15.0,6600.0,37100.0,Indomaret,delivered,Bandung
ORD00878,2023-09-28,CST0073,STR033,PRD0003,Hijab Voal Motif,Fashion & Pakaian,3,61500.0,10.0,18500.0,166100.0,Transfer BCA,delivered,Depok
ORD02532,2024/08/06,CST0503,STR042,PRD0047,Kaos Olahraga Dryfit,Olahraga & Outdoor,5,72000.0,0.0,0.0,360100.0,QRIS,cancelled,Bogor
ORD02312,2023-11-04,CST0384,STR015,PRD0038,Talenan Kayu Jati,Rumah Tangga,1,86700.0,0.0,0.0,86700.0,ShopeePay,delivered,Jakarta
ORD03560,2023-09-16,CST0619,STR014,PRD0023,Shampo Kemiri Organik,Kecantikan & Perawatan,5,71100.0,10.0,35600.0,320100.0,Alfamart,delivered,Makassar
ORD02417,2024-07-04,CST0259,STR026,PRD0002,Kaos Polos Cotton Combed,Fashion & Pakaian,2,51600.0,25.0,25800.0,77500.0,Indomaret,returned,Bandung
ORD01783,2024-02-02,CST0399,STR043,PRD0016,Rendang Kemasan Vacuum,Makanan & Minuman,4,127000.0,10.0,50800.0,457200.0,LinkAja,returned,Surabaya
ORD02703,2024-12-27,CST0582,STR048,PRD0025,Powerbank 10000mAh,Elektronik & Aksesori,3,128300.0,5.0,19200.0,365700.0,QRIS,delivered,Surabaya
ORD03481,07/07/2024,CST0055,STR046,PRD0006,Jaket Bomber,Fashion & Pakaian,2,292400.0,0.0,0.0,584800.0,Transfer BRI,delivered,Medan
ORD04220,2024-05-22,CST0266,STR034,PRD0045,Buku Mewarnai + Crayon,Perlengkapan Bayi & Anak,1,32400.0,10.0,3200.0,29200.0,Transfer BRI,processing,Depok
ORD04952,2024-05-23,CST0347,STR023,PRD0015,Dodol Garut Premium,Makanan & Minuman,10,46800.0,25.0,116900.0,350700.0,COD,processing,Palembang
ORD04321,2023-01-28,CST0584,STR038,PRD0043,Tas Sekolah Anak SD,Perlengkapan Bayi & Anak,1,110500.0,5.0,5500.0,104900.0,GoPay,returned,Semarang
ORD00291,2023-02-11,CST0071,STR036,PRD0006,Jaket Bomber,Fashion & Pakaian,1,285500.0,5.0,14300.0,271200.0,OVO,returned,Tangerang
ORD05458,2024-03-17,CST0636,STR024,PRD0009,Keripik Tempe Renceng,Makanan & Minuman,3,15300.0,5.0,2300.0,43500.0,Transfer Mandiri,processing,Bogor
ORD01048,2024/09/14,CST0459,STR024,PRD0034,Sapu Lantai Ijuk,Rumah Tangga,2,25500.0,10.0,5100.0,45900.0,Indomaret,delivered,Bogor
ORD05031,2023-08-28,CST0885,STR013,PRD0037,Botol Minum Tumbler,Rumah Tangga,2,88700.0,15.0,26600.0,150900.0,Alfamart,processing,Depok
ORD03212,2024-02-03,CST0286,STR026,PRD0035,Lap Microfiber Set 3pcs,Rumah Tangga,2,31800.0,10.0,6400.0,57300.0,GoPay,delivered,Bandung
ORD04608,2024-09-19,CST0076,STR008,PRD0029,Lampu LED Ring Light,Elektronik & Aksesori,3,182200.0,0.0,0.0,546600.0,Transfer BRI,delivered,Palembang
ORD03329,2023-12-22,CST0005,STR030,PRD0017,Skincare Serum Vit C Lokal,Kecantikan & Perawatan,1,104700.0,0.0,0.0,104700.0,LinkAja,delivered,Surabaya
ORD05237,2023-08-22,CST0441,STR047,PRD0039,Keranjang Rotan Mini,Rumah Tangga,1,126300.0,0.0,0.0,126300.0,ShopeePay,cancelled,Makassar
